id,major,grade,study_hours,sleep_hours,game_hours,exercise_hours,score,stress
S116,数据科学,大二,19.3,7.0,9.2,2.5,88.1,45.5
S117,数据科学,大二,19.7,7.6,8.5,7.2,97.1,32.3
S118,数据科学,大二,30.3,7.5,4.0,6.9,98,35.8
S119,数据科学,大二,22.8,7.2,10.8,6.2,84.9,47.7
S120,数据科学,大二,8.6,6.1,3.9,5.2,80.2,40.4
S121,数据科学,大三,17.6,7.4,9.0,4.9,88.7,55.3
S122,数据科学,大三,12.8,7.3,9.4,4.0,82.1,30.6
S123,数据科学,大三,27.6,7.3,12.7,4.6,95.6,34.6
S124,数据科学,大三,22.2,7.6,13.0,3.2,91.7,43.5
S125,数据科学,大三,26.1,6.5,5.6,5.6,93.4,55.8
S126,数据科学,大三,21.8,6.4,10.6,1.5,86.8,58.5
S127,数据科学,大三,29.1,7.5,13.4,8.0,97.6,38.5
S128,数据科学,大三,17.0,6.3,5.4,1.8,79.9,52.9
S129,数据科学,大三,22.1,6.5,5.4,3.0,96.4,49.9
S130,数据科学,大三,20.9,7.7,6.2,4.0,88.3,45.2
S131,数据科学,大三,22.3,6.7,12.3,3.4,87.7,53.1
S132,数据科学,大三,25.9,7.1,8.9,4.1,98,44.7
S133,数据科学,大四,21.3,6.4,6.8,0.1,88.4,35.9
S134,数据科学,大四,26.0,7.3,16.3,2.9,77.7,41.2
S135,数据科学,大四,20.6,8.1,10.1,3.9,93.8,33.7
S136,数据科学,大四,16.9,7.4,0,0,87.8,42.1
S137,数据科学,大四,17.6,6.8,8.7,4.7,85.8,40.9
S138,数据科学,大四,28.4,7.4,11.0,1.1,98,55.7
S139,数据科学,大四,22.9,7.1,6.4,2.5,89.0,35.0
S140,数据科学,大四,21.8,7.8,0,2.5,98,41.2
S141,数据科学,大四,30.8,6.8,0.1,3.9,98,58.1
S142,数据科学,大四,35.9,6.9,5.1,3.5,98,48.9
S143,数据科学,大四,18.4,7.3,7.5,2.6,98,51.1
S144,数据科学,大四,22.0,7.1,11.8,5.8,95.6,30.5
S145,软件工程,大一,13.0,6.8,10.8,4.4,71.5,31.7
S146,软件工程,大一,9.8,7.1,2.6,2.8,88.9,32.4
S147,软件工程,大一,25.3,7.9,7.0,4.1,98,47.6
S148,软件工程,大一,16.0,6.8,15.6,5.7,78.0,43.4
S149,软件工程,大一,18.6,6.8,8.3,4.5,87.1,46.4
S150,软件工程,大一,13.5,6.8,11.8,3.7,80.4,43.7
S151,软件工程,大一,17.6,7.0,1.3,2.9,95.8,35.8
S152,软件工程,大一,21.7,7.4,9.5,3.8,98,30.4
S153,软件工程,大一,24.4,6.6,8.4,4.0,94.1,42.8
S154,软件工程,大一,22.6,7.4,6.5,4.3,94.7,39.1
S155,软件工程,大一,9.0,6.9,6.3,2.4,74.2,37.8
S156,软件工程,大一,16.1,7.6,10.7,1.7,88.6,45.3
S157,软件工程,大二,20.3,7.2,8.3,2.9,89.2,31.0
S158,软件工程,大二,30.6,7.5,11.6,4.0,98,44.2
S159,软件工程,大二,26.0,7.0,11.8,2.8,91.0,61.2
S160,软件工程,大二,18.7,6.4,4.2,2.8,96.9,36.1
S161,软件工程,大二,26.6,6.5,2.9,0,97.8,38.9
S162,软件工程,大二,15.5,6.5,6.4,3.6,74.2,35.6
S163,软件工程,大二,21.4,7.1,11.6,2.8,88.8,45.4
S164,软件工程,大二,12.4,7.2,12.7,4.1,80.9,42.1
S165,软件工程,大二,14.0,7.2,10.3,2.9,83.7,37.4
S166,软件工程,大二,17.9,6.3,9.2,4.7,88.1,33.6
S167,软件工程,大二,23.2,8.0,5.2,4.8,98,42.0
S168,软件工程,大二,25.0,6.2,14.7,2.5,92.8,44.1
S169,软件工程,大三,21.8,6.1,13.5,2.1,96.4,38.2
S170,软件工程,大三,22.9,7.8,7.3,1.5,96.7,47.5
S171,软件工程,大三,32.3,7.3,5.2,4.2,98,48.4
S172,软件工程,大三,18.2,7.2,4.7,4.3,88.2,41.9
S173,软件工程,大三,13.6,7.5,9.0,5.0,87.5,37.3
S174,软件工程,大三,15.6,7.6,8.4,3.6,91.4,54.1
S175,软件工程,大三,24.2,6.6,7.2,5.2,98,45.8
S176,软件工程,大三,14.1,7.1,9.0,5.4,86.2,43.0
S177,软件工程,大三,27.5,6.8,4.4,5.3,94.0,41.1
S178,软件工程,大三,22.7,7.4,4.8,4.1,94.0,45.9
S179,软件工程,大三,25.6,7.0,11.3,5.1,91.3,42.9
S180,软件工程,大三,22.8,6.4,8.9,4.6,93.3,62.4
S181,软件工程,大四,26.4,7.4,10.2,3.1,82.3,59.7
S182,软件工程,大四,19.9,6.9,6.5,3.9,89.4,43.7
S183,软件工程,大四,18.0,7.6,7.6,4.1,93.5,46.0
S184,软件工程,大四,25.2,7.4,5.8,0.6,93.3,44.7
S185,软件工程,大四,34.6,6.7,0,3.1,98,59.1
S186,软件工程,大四,19.1,6.8,5.6,2.9,89.2,38.1
S187,软件工程,大四,21.2,6.9,11.9,2.5,89.7,61.9
S188,软件工程,大四,17.7,7.4,7.4,5.9,87.9,30.2
S189,软件工程,大四,25.6,7.1,0,4.8,98,53.4
S190,软件工程,大四,29.1,6.5,9.7,4.0,98,51.9
S191,软件工程,大四,29.5,8.1,0,3.4,98,43.9
S192,软件工程,大四,27.1,7.2,10.1,6.7,98,37.3
